timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,block_median_fee_rate
1725156820,803299,29424,6.170293,1E-8,0.00000200,2.546652709742872604795691056E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.492063492063492063492063492E-8,2.449531251981006097278611085E-8,1692104666,52391178981379.36,6.574572075966817E+20,0.00001000,0.15529786,46511376,3401,3993402,793116672,,8E-8
1725156825,803300,29433,6.172034,1E-8,0.00000200,2.547332365729105588416570180E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.492753623188405797101449275E-8,2.449685026801189772149254862E-8,1692104875,52391178981379.36,6.574572075966817E+20,0.00001000,0.15537797,46523920,5048,3993409,557588480,209,6.397058823529411764705882353E-8
1725156830,803301,29441,6.173171,1E-8,0.00000200,2.547714470604214773642787940E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.5E-8,2.449535058096521917242663248E-8,1692104884,52391178981379.36,6.574572075966817E+20,0.00001000,0.15542102,46534048,6392,3997929,536870912,9,6.345588235294117647058823529E-8
1725156834,803302,29452,6.174935,1E-8,0.00000200,2.548790051007200589944294295E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.5E-8,2.451369204867973640768320531E-8,1692105381,52391178981379.36,6.574572075966817E+20,0.00001000,0.15551160,46548576,4308,3993126,783720448,497,6.389705882352941176470588235E-8
1725156839,803303,29460,6.176499,1E-8,0.00000200,2.550336138253004875731750012E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.5E-8,2.456636468018032204316057449E-8,1692105972,52391178981379.36,6.574572075966817E+20,0.00001000,0.15563679,46560192,3335,3993490,830971904,591,7.05971479500891265597147950E-8
1725156844,803304,29470,6.1782,1E-8,0.00000200,2.551013544101238342757895237E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.503267973856209150326797386E-8,2.456776245706286064561338857E-8,1692106054,52391178981379.36,6.574572075966817E+20,0.00001000,0.15572076,46573728,1434,3997662,885948416,82,6.354545454545454545454545455E-8
1725156849,803305,29472,6.178527,1E-8,0.00000200,2.551927170027872881936824523E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.503267973856209150326797386E-8,2.461295235566508428147698158E-8,1692106599,52391178981379.36,6.574572075966817E+20,0.00001000,0.15577942,46576032,3562,3992977,536870912,545,6.944444444444444444444444444E-8
1725156853,803306,29479,6.180758,1E-8,0.00000200,2.552828641347551198285331472E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.535398230088495575221238938E-8,2.461825263008839542435872836E-8,1692107338,52391178981379.36,6.574572075966817E+20,0.00001000,0.15591525,46590368,3994,3997699,536936448,739,7.5E-8
1725156858,803307,29487,6.18202,1E-8,0.00000200,2.554203096972474658439671668E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.581560283687943262411347518E-8,2.469126037337252777043831236E-8,1692107644,52391178981379.36,6.574572075966817E+20,0.00001000,0.15600600,46600752,5485,3993522,587202560,306,6.352941176470588235294117645E-8
1725156863,803308,29487,6.18202,1E-8,0.00000200,2.554203096972474658439671668E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.581560283687943262411347518E-8,2.469126037337252777043831236E-8,1692107878,52391178981379.36,6.574572075966817E+20,0.00001000,0.15600600,46600752,6316,3992654,539041792,234,6.345588235294117647058823529E-8
1725156868,803309,29508,6.186994,1E-8,0.00000200,2.555381892122996585507670925E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.586021505376344086021505376E-8,2.468836210204640460898901817E-8,1692108607,52391178981379.36,6.574572075966817E+20,0.00001000,0.15622152,46631952,2472,3993454,536895488,729,9.799418604651162790697674419E-8
