timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,bitcoin_price_usd
1724802326,679515,0,0.0,0,0,0,0,0,0,0,1618604532,23581981443663.85,1.343188726475113E+20,0.00001000,0,0,2521,3993215,1073733632,,59713
1724802930,680115,0,0.0,0,0,0,0,0,0,0,1619087207,23581981443663.85,1.333170207542997E+20,0.00001000,0,0,2300,3999436,536870912,482675,59687
1724803533,680402,0,0.0,0,0,0,0,0,0,0,1619260914,23581981443663.85,1.615547186491034E+20,0.00001000,0,0,2911,3993352,541065216,173707,59472
1724804135,680642,0,0.0,0,0,0,0,0,0,0,1619401671,23581981443663.85,1.889006581723913E+20,0.00001000,0,0,1163,3993331,536870912,140757,59415
1724804739,681074,0,0.0,0,0,0,0,0,0,0,1619686656,23581981443663.85,1.487303738145864E+20,0.00001000,0,0,2532,3998298,536870912,284985,59189
1724805342,681449,0,0.0,0,0,0,0,0,0,0,1619920825,20608845737768.16,1.657756363887711E+20,0.00001000,0,0,492,3993361,805298176,234169,59165
1724805944,681585,0,0.0,0,0,0,0,0,0,0,1619982763,20608845737768.16,1.998923612344011E+20,0.00001000,0,0,468,3999469,538968064,61938,59387
1724806544,681782,0,0.0,0,0,0,0,0,0,0,1620082839,20608845737768.16,1.861560891581276E+20,0.00001000,0,0,990,3993058,545259520,100076,59214
1724807147,681992,0,0.0,0,0,0,0,0,0,0,1620185275,20608845737768.16,1.705887690115569E+20,0.00001000,0,0,2181,3993393,536870916,102436,59095
1724807752,682309,0,0.0,0,0,0,0,0,0,0,1620348422,20608845737768.16,1.757512830099708E+20,0.00001000,0,0,1409,3993570,671080452,163147,59023
1724808353,682633,0,0.0,0,0,0,0,0,0,0,1620511048,20608845737768.16,1.781566946423845E+20,0.00001000,0,0,620,3993547,1073676292,162626,59068
1724808956,682791,0,0.0,0,0,0,0,0,0,0,1620581052,20608845737768.16,2.167155712009794E+20,0.00001000,0,0,2453,3992822,536870912,70004,59171
1724809560,683046,0,0.0,0,0,0,0,0,0,0,1620707250,20608845737768.16,1.737844650983067E+20,0.00001000,0,0,1761,3992922,536870912,126198,58922
1724810164,683381,0,0.0,0,0,0,0,0,0,0,1620877171,20608845737768.16,1.812329214160556E+20,0.00001000,0,0,2461,3993580,551550980,169921,59208
1724810767,683814,0,0.0,0,0,0,0,0,0,0,1621148531,25046487590083.27,1.564601595754083E+20,0.00001000,0,0,2277,3998557,536870916,271360,59382
1724811368,684159,0,0.0,0,0,0,0,0,0,0,1621402766,25046487590083.27,1.344483506336324E+20,0.00001000,0,0,1418,3998501,541065220,254235,59290
1724811972,684536,0,0.0,0,0,0,0,0,0,0,1621687336,25046487590083.27,1.423945022015753E+20,0.00001000,0,0,1773,3998489,805298180,284570,59346
1724812573,684952,0,0.0,0,0,0,0,0,0,0,1621981559,25046487590083.27,1.480549412908237E+20,0.00001000,0,0,2582,3993064,551550980,294223,59230
1724813178,685422,0,0.0,0,0,0,0,0,0,0,1622325766,25046487590083.27,1.460548553044998E+20,0.00001000,0,0,2048,3993062,536870916,344207,59226
1724813783,685776,0,0.0,0,0,0,0,0,0,0,1622541155,21047730572451.55,1.503941892426019E+20,0.00001000,0,0,1992,3993490,549453828,215389,59369
1724814384,685966,0,0.0,0,0,0,0,0,0,0,1622644049,21047730572451.55,1.813514872489571E+20,0.00001000,0,0,1771,3997955,536870916,102894,59334
1724814988,686268,0,0.0,0,0,0,0,0,0,0,1622832669,21047730572451.55,1.273428565555961E+20,0.00001000,0,0,2792,3992936,1073733636,188620,59378
1724815593,686752,0,0.0,0,0,0,0,0,0,0,1623133422,21047730572451.55,1.415515125103816E+20,0.00001000,0,0,163,3998277,939515908,300753,59509
1724816194,687257,0,0.0,0,0,0,0,0,0,0,1623480918,21047730572451.55,1.264139099011597E+20,0.00001000,0,0,1787,3993555,545259524,347496,59449
1724816795,687708,0,0.0,0,0,0,0,0,0,0,1623772353,19932791027262.74,1.468410306855136E+20,0.00001000,0,0,2654,3993599,536870916,291435,59529
1724817395,688107,0,0.0,0,0,0,0,0,0,0,1624046188,19932791027262.74,1.218531494466918E+20,0.00001000,0,0,1890,2561561,805298180,273835,59571
1724817996,688474,0,0.0,0,0,0,0,0,0,0,1624353855,19932791027262.74,9.933610224084653E+19,0.00001000,0,0,1798,3999359,541065220,307667,59641
1724818598,689068,0,0.0,0,0,0,0,0,0,0,1624918785,19932791027262.74,7.447327275386805E+19,0.00001000,0,0,1189,3993077,1073733636,564930,59524
1724819202,689447,0,0.0,0,0,0,0,0,0,0,1625272256,19932791027262.74,9.686349393132809E+19,0.00001000,0,0,1135,3993171,536870916,353471,59662
1724819806,689695,0,0.0,0,0,0,0,0,0,0,1625447966,14363025673659.96,9.029297711744695E+19,0.00001000,0,0,1802,3999410,536895492,175710,59585
1724820410,690148,0,0.0,0,0,0,0,0,0,0,1625743116,14363025673659.96,9.637504585157275E+19,0.00001000,0,0,2048,3999615,536870916,295150,59543
1724821014,690846,0,0.0,0,0,0,0,0,0,0,1626187052,14363025673659.96,9.636250061116614E+19,0.00001000,0,0,693,3993316,536870916,443936,59422
1724821617,691543,0,0.0,0,0,0,0,0,0,0,1626598687,13672594272814.14,9.054214753874793E+19,0.00001000,0,0,1963,3998486,805298180,411635,59308
1724822218,691901,0,0.0,0,0,0,0,0,0,0,1626803729,13672594272814.14,8.862587196663397E+19,0.00001000,0,0,1837,3993012,545259524,205042,59317
1724822820,692443,0,0.0,0,0,0,0,0,0,0,1627132823,13672594272814.14,9.706085089711124E+19,0.00001000,0,0,2853,3993102,549453828,329094,59414
1724823422,693124,0,0.0,0,0,0,0,0,0,0,1627506266,13672594272814.14,1.070519537223778E+20,0.00001000,0,0,2004,3999404,549453828,373443,59379
1724824024,694017,0,0.0,0,0,0,0,0,0,0,1627995950,14496442856349.12,1.159814306669879E+20,0.00001000,0,0,474,3993652,536870916,489684,59517
1724824628,694506,0,0.0,0,0,0,0,0,0,0,1628270551,14496442856349.12,1.13356046904469E+20,0.00001000,0,0,2459,3993450,541065220,274601,59327
