timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval
1724179306,857658,2792,20.965035,2.0091324200913242e-08,5.035460992907801e-06,7.177397887626836e-08,5e-08,4.0182648401826485e-08,8.794788273615636e-08,1.4832149614503067e-07,1724179306,86871474313761.95,5.607321335451541e+20,1e-05,0.06643209,119367888,2792,3993747,738197504,
1724179940,857659,3060,20.963822,2.3905325443786984e-08,3.636241134751773e-06,7.387735459540042e-08,5e-08,4e-08,9.44187982381704e-08,1.458437061291785e-07,1724179940,86871474313761.95,5.607321335451541e+20,1e-05,0.06764358,119360016,3060,3993131,814366720,634
1724180818,857663,7325,20.960869,2.5433070866141732e-08,1.4749262536873157e-06,3.4616206930438975e-08,3.2857142857142855e-08,3.0634920634920634e-08,3.380952380952381e-08,2.2266874062614822e-08,1724180818,86871474313761.95,5.607321335451541e+20,1e-05,0.03612513,119338608,7325,3993026,794869760,878
1724182685,857666,5152,20.958913,2.4225352112676055e-08,2.154929577464789e-06,4.729477900883599e-08,3.267716535433071e-08,3.062992125984252e-08,5.028673835125448e-08,7.935356970862285e-08,1724182685,86871474313761.95,5.607321335451541e+20,1e-05,0.05582901,119322688,5152,3993204,681926656,1867
1724185463,857667,3373,20.958772,2.070921985815603e-08,9.313745454545455e-05,1.9053792628948018e-07,8.228256164764101e-08,6e-08,2.5407914959016395e-07,1.6396025976392851e-06,1724185463,86871474313761.95,5.607321335451541e+20,1e-05,0.13962018,119321616,3373,3993579,639909888,2778
1724186255,857668,4361,20.958772,1e-08,2.9199545454545456e-05,8.251297879729915e-08,5.392627002692325e-08,5e-08,9.074249840391572e-08,4.56601002103968e-07,1724186255,86871474313761.95,5.607321335451541e+20,1e-05,0.07748541,119321616,4361,3993069,624312320,792
1724187056,857669,3156,20.957491,2e-08,2.1702127659574467e-06,8.156169470145252e-08,5.1201923076923075e-08,4.6611111111111114e-08,1.0991489361702127e-07,1.203230316570846e-07,1724187056,86871474313761.95,5.607321335451541e+20,1e-05,0.07590483,119310288,3156,3993626,613744640,801
1724187735,857673,6350,20.948109,1.9858156028368793e-08,2.2181818181818183e-06,3.4087803210294234e-08,3.1063829787234044e-08,2.761904761904762e-08,3.253968253968254e-08,3.6517451193161685e-08,1724187735,86871474313761.95,5.607321335451541e+20,1e-05,0.03540064,119256704,6350,3997760,1073676288,679
1724188585,857675,6021,20.94484,1.9858156028368793e-08,3.42914979757085e-05,4.7948256043537046e-08,3.103174603174603e-08,2.761904761904762e-08,4.9585784313725494e-08,4.562713089066311e-07,1724188585,86871474313761.95,5.607321335451541e+20,1e-05,0.05385825,119244560,6021,3993237,795394048,850
1724190405,857677,5210,20.941573,2.1904761904761905e-08,1.2328358208955224e-06,4.3114888211827995e-08,3.103174603174603e-08,3.047619047619048e-08,5e-08,5.321123915237899e-08,1724190405,86871474313761.95,5.607321335451541e+20,1e-05,0.04609415,119232736,5210,3993709,549453824,1820
