timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,block_median_fee_rate,time_since_last_block,mempool_fee_histogram,bitcoin_price_usd
1726469858,861523,59716,51.68134,1.0000,403.4234,1.8891,2.0068,1.0166,2.0794,3.5625,1726469086,92671576265161.06,6.197471814785168E+20,1.9500,82339680.0000,292674144,4407,3993295,689364992,,2.1032,,"[59691, 10, 7, 1, 2, 1, 1, 2, 0, 1]",58657
1726470091,861524,57979,50.83073,1.0000,14.2340,1.7086,2.0039,1.0160,2.0714,0.4730,1726470075,92671576265161.06,6.132226056229738E+20,1.9430,77637217.0000,288180656,2292,3993188,838860800,989,4.0000,989,"[57633, 317, 15, 7, 2, 2, 1, 1, 0, 1]",58657
1726470324,861525,53178,50.142707,1.0000,25.1185,1.6743,2.0000,1.0157,2.0714,0.5032,1726470301,92671576265161.06,6.239082428236928E+20,1.9360,76177612.0000,282014400,5760,3993640,551452672,226,2.0794,226,"[53136, 24, 8, 5, 1, 0, 1, 2, 0, 1]",58701
1726472117,861526,58865,51.178547,1.0000,300.0000,1.7449,2.0068,1.0160,2.0794,1.3397,1726472093,92671576265161.06,6.099959838235503E+20,1.8810,78821229.0000,290099120,3404,3993080,620822528,1792,4.8216,1792,"[58864, 0, 0, 0, 0, 0, 0, 0, 0, 1]",58863
1726472180,861527,53746,50.27088,1.0000,70.0000,1.6885,2.0000,1.0157,2.0714,0.6917,1726472135,92671576265161.06,6.160780044547494E+20,1.8790,76581819.0000,283002176,5329,3992931,827326464,42,2.0952,42,"[53717, 14, 7, 3, 3, 1, 0, 0, 0, 1]",58863
1726473064,861528,56728,50.914614,1.0000,86.8085,1.7080,2.0000,1.0157,2.0714,0.6127,1726473047,92671576265161.06,6.159429431861217E+20,1.8530,78039134.0000,287796864,2678,3993196,596262912,912,4.0000,912,"[56722, 6, 1, 0, 0, 0, 0, 0, 0, 1]",58823
1726473568,861529,56274,50.654963,1.0000,50.4602,1.6979,2.0000,1.0157,2.0714,0.5342,1726473555,92671576265161.06,6.120909811152692E+20,1.8380,77259778.0000,286236816,2027,3993394,1073733632,508,3.6596,508,"[56258, 11, 2, 1, 1, 0, 0, 0, 0, 1]",58913
1726473941,861530,54326,50.296931,1.0000,23.0000,1.6834,2.0000,1.0157,2.0714,0.4990,1726473920,92671576265161.06,6.10190805986098E+20,1.8280,76502742.0000,283471856,3472,3993077,751288320,365,2.0952,365,"[54177, 131, 10, 2, 2, 1, 0, 1, 0, 2]",58902
1726474043,861531,47470,49.474219,1.0000,196.3881,1.6446,1.9921,1.0157,2.0635,1.1956,1726474028,92671576265161.06,6.153081549677012E+20,1.8250,74992302.0000,275136080,7532,3998011,536870912,108,2.0714,108,"[47456, 10, 1, 2, 0, 0, 0, 0, 0, 1]",58858
1726474366,861532,47998,49.546446,1.0000,70.0000,1.6322,1.9943,1.0157,2.0635,0.5818,1726474339,92671576265161.06,6.139004348080127E+20,1.8150,74981916.0000,275840912,4619,3993583,568426496,311,2.0794,311,"[47989, 7, 1, 0, 0, 0, 0, 0, 0, 1]",58933
1726474519,861533,43478,49.011605,1.0000,37.7117,1.6045,1.9296,1.0157,2.0435,0.8541,1726474488,92671576265161.06,6.151496623010858E+20,1.8110,74062575.0000,270350096,6901,3993674,536928256,149,2.0714,149,"[43413, 22, 12, 5, 1, 9, 0, 3, 1, 12]",58933
1726475821,861534,49085,50.077114,1.0000,31.0000,1.6568,2.0000,1.0157,2.0635,0.5633,1726475785,92671576265161.06,6.06880240008231E+20,1.7740,76594109.0000,278866736,3145,3993634,779763712,1297,4.5603,1297,"[49003, 58, 5, 13, 2, 0, 3, 0, 0, 1]",59071
1726475914,861535,45181,49.20194,1.0000,40.0000,1.6009,1.9909,1.0157,2.0476,0.5429,1726475907,92671576265161.06,6.100271470090528E+20,1.7710,74188735.0000,272461696,4266,3993649,536977408,122,2.0794,122,"[45170, 7, 1, 0, 0, 1, 0, 0, 0, 2]",59024
